year,sex,age,from_state,to_state,value
2015,male,30-34,M,V,27131.0
2015,male,35-39,M,V,27922.0
2015,male,40-44,M,V,27111.0
2015,male,45-49,M,V,19578.0
2015,male,50-54,M,V,13258.0
2015,male,55-59,M,V,8412.0
2015,male,60-64,M,V,5954.0
2015,male,65-69,M,V,4289.0
2015,male,70-74,M,V,2129.0
2015,male,75-79,M,V,938.0
2015,male,80+,M,V,569.0
2015,female,15-19,M,V,1234.0
2015,female,20-24,M,V,12095.0
2015,female,25-29,M,V,24831.0
2015,female,30-34,M,V,30271.0
2015,female,35-39,M,V,28601.0
2015,female,40-44,M,V,26323.0
2015,female,45-49,M,V,17504.0
2015,female,50-54,M,V,10112.0
2015,female,55-59,M,V,5177.0
2015,female,60-64,M,V,3425.0
2015,female,65-69,M,V,2653.0
2015,female,70-74,M,V,1262.0
2015,female,75-79,M,V,548.0
2015,female,80+,M,V,280.0
