year,sex,age,state,value
2022,male,55-59,W,272.0
2022,male,55-59,V,4204.0
2022,female,55-59,M,5160.0
2022,female,55-59,S,2149.0
2022,female,55-59,W,377.0
2022,female,55-59,V,1787.0
2022,male,60-64,M,13052.0
2022,male,60-64,S,9094.0
2022,male,60-64,W,700.0
2022,male,60-64,V,5952.0
2022,female,60-64,M,7532.0
2022,female,60-64,S,2258.0
2022,female,60-64,W,1007.0
2022,female,60-64,V,2297.0
2022,male,65-69,M,24661.0
2022,male,65-69,S,12407.0
2022,male,65-69,W,1966.0
2022,male,65-69,V,8711.0
2022,female,65-69,M,12142.0
2022,female,65-69,S,2517.0
2022,female,65-69,W,2861.0
2022,female,65-69,V,3333.0
2022,male,70-74,M,56975.0
2022,male,70-74,S,18119.0
2022,male,70-74,W,6873.0
2022,male,70-74,V,14911.0
2022,female,70-74,M,23591.0
2022,female,70-74,S,4264.0
2022,female,70-74,W,9907.0
2022,female,70-74,V,6531.0
2022,male,75-79,M,73045.0
2022,male,75-79,S,11409.0
2022,male,75-79,W,12263.0
2022,male,75-79,V,13126.0
2022,female,75-79,M,27392.0
2022,female,75-79,S,4283.0
2022,female,75-79,W,21272.0
2022,female,75-79,V,7251.0
2022,male,80+,M,285210.0
2022,male,80+,S,13421.0
2022,male,80+,W,139399.0
2022,male,80+,V,21106.0
2022,female,80+,M,79991.0
2022,female,80+,S,28124.0
2022,female,80+,W,459440.0
2022,female,80+,V,32156.0
2021,male,15-19,M,1.0
2021,male,15-19,S,754.0
2021,male,15-19,W,0.0
2021,male,15-19,V,1.0
2021,female,15-19,M,3.0
2021,female,15-19,S,441.0
2021,female,15-19,W,0.0
2021,female,15-19,V,3.0
2021,male,20-24,M,31.0
2021,male,20-24,S,1391.0
2021,male,20-24,W,0.0
2021,male,20-24,V,16.0
2021,female,20-24,M,29.0
2021,female,20-24,S,693.0
2021,female,20-24,W,1.0
2021,female,20-24,V,20.0
2021,male,25-29,M,158.0
2021,male,25-29,S,1301.0
2021,male,25-29,W,0.0
2021,male,25-29,V,66.0
2021,female,25-29,M,117.0
2021,female,25-29,S,620.0
2021,female,25-29,W,1.0
2021,female,25-29,V,55.0
2021,male,30-34,M,395.0
2021,male,30-34,S,1286.0
2021,male,30-34,W,1.0
2021,male,30-34,V,149.0
2021,female,30-34,M,306.0
2021,female,30-34,S,599.0
2021,female,30-34,W,1.0
2021,female,30-34,V,118.0
2021,male,35-39,M,729.0
2021,male,35-39,S,1681.0
2021,male,35-39,W,4.0
2021,male,35-39,V,350.0
2021,female,35-39,M,622.0
2021,female,35-39,S,686.0
2021,female,35-39,W,9.0
2021,female,35-39,V,203.0
2021,male,40-44,M,1354.0
2021,male,40-44,S,2375.0
2021,male,40-44,W,29.0
2021,male,40-44,V,677.0
