year,sex,age,state,value
1940,male,45-49,V,0.0
1940,male,50-54,S,22094.0
1940,male,50-54,M,1276827.0
1940,male,50-54,W,144073.0
1940,male,50-54,V,0.0
1940,male,55-59,S,16945.0
1940,male,55-59,M,1040376.0
1940,male,55-59,W,177494.0
1940,male,55-59,V,0.0
1940,male,60-64,S,14030.0
1940,male,60-64,M,824197.0
1940,male,60-64,W,207220.0
1940,male,60-64,V,0.0
1940,male,65-69,S,7369.0
1940,male,65-69,M,508551.0
1940,male,65-69,W,184499.0
1940,male,65-69,V,0.0
1940,male,70-74,S,3792.0
1940,male,70-74,M,267820.0
1940,male,70-74,W,148334.0
1940,male,70-74,V,0.0
1940,male,75-79,S,1615.0
1940,male,75-79,M,114972.0
1940,male,75-79,W,98837.0
1940,male,75-79,V,0.0
1940,male,80+,S,735.0
1940,male,80+,M,45742.0
1940,male,80+,W,74923.0
1940,male,80+,V,0.0
1940,female,15-19,S,3478418.0
1940,female,15-19,M,154353.0
1940,female,15-19,W,4102.0
1940,female,15-19,V,0.0
1940,female,20-24,S,1599247.0
1940,female,20-24,M,1352765.0
1940,female,20-24,W,38791.0
1940,female,20-24,V,0.0
1940,female,25-29,S,374233.0
1940,female,25-29,M,2290559.0
1940,female,25-29,W,101649.0
1940,female,25-29,V,0.0
1940,female,30-34,S,126259.0
1940,female,30-34,M,2134843.0
1940,female,30-34,W,143102.0
1940,female,30-34,V,0.0
1940,female,35-39,S,61238.0
1940,female,35-39,M,1892958.0
1940,female,35-39,W,185046.0
1940,female,35-39,V,0.0
1940,female,40-44,S,36874.0
1940,female,40-44,M,1571716.0
1940,female,40-44,W,230617.0
1940,female,40-44,V,0.0
1940,female,45-49,S,24560.0
1940,female,45-49,M,1235116.0
1940,female,45-49,W,287637.0
1940,female,45-49,V,0.0
1940,female,50-54,S,19175.0
1940,female,50-54,M,1019346.0
1940,female,50-54,W,383567.0
1940,female,50-54,V,0.0
1940,female,55-59,S,16347.0
1940,female,55-59,M,799413.0
1940,female,55-59,W,497064.0
1940,female,55-59,V,0.0
1940,female,60-64,S,15146.0
1940,female,60-64,M,570649.0
1940,female,60-64,W,587012.0
1940,female,60-64,V,0.0
1940,female,65-69,S,9071.0
1940,female,65-69,M,301972.0
1940,female,65-69,W,537860.0
1940,female,65-69,V,0.0
1940,female,70-74,S,5197.0
1940,female,70-74,M,125745.0
1940,female,70-74,W,440450.0
1940,female,70-74,V,0.0
1940,female,75-79,S,2332.0
1940,female,75-79,M,42440.0
1940,female,75-79,W,284662.0
1940,female,75-79,V,0.0
1940,female,80+,S,1424.0
1940,female,80+,M,11822.0
1940,female,80+,W,221839.0
1940,female,80+,V,0.0
1950,male,15-19,S,4346295.0
1950,male,15-19,M,19802.0
1950,male,15-19,W,373.0
1950,male,15-19,V,672.0
1950,male,20-24,S,3201072.0
1950,male,20-24,M,647872.0
1950,male,20-24,W,3530.0
1950,male,20-24,V,17852.0
1950,male,25-29,S,977804.0
1950,male,25-29,M,1825795.0
1950,male,25-29,W,9151.0
1950,male,25-29,V,34311.0
1950,male,30-34,S,189483.0
1950,male,30-34,M,2147582.0
1950,male,30-34,W,14650.0
1950,male,30-34,V,30275.0
1950,male,35-39,S,76014.0
1950,male,35-39,M,2267835.0
1950,male,35-39,W,24643.0
1950,male,35-39,V,27632.0
1950,male,40-44,S,41651.0
1950,male,40-44,M,2106738.0
1950,male,40-44,W,43282.0
1950,male,40-44,V,25450.0
1950,male,45-49,S,31669.0
1950,male,45-49,M,1898922.0
1950,male,45-49,W,79519.0
1950,male,45-49,V,24728.0
1950,male,50-54,S,23673.0
1950,male,50-54,M,1569236.0
1950,male,50-54,W,118250.0
1950,male,50-54,V,22367.0
1950,male,55-59,S,17392.0
1950,male,55-59,M,1207427.0
1950,male,55-59,W,149501.0
1950,male,55-59,V,18029.0
1950,male,60-64,S,13689.0
1950,male,60-64,M,909430.0
1950,male,60-64,W,183317.0
1950,male,60-64,V,13809.0
1950,male,65-69,S,10440.0
1950,male,65-69,M,590360.0
1950,male,65-69,W,193695.0
1950,male,65-69,V,9171.0
1950,male,70-74,S,7804.0
1950,male,70-74,M,348356.0
1950,male,70-74,W,178595.0
1950,male,70-74,V,5466.0
1950,male,75-79,S,5449.0
1950,male,75-79,M,145489.0
1950,male,75-79,W,114240.0
1950,male,75-79,V,2470.0
1950,male,80+,S,2481.0
1950,male,80+,M,49355.0
1950,male,80+,W,71618.0
1950,male,80+,V,869.0
1950,female,15-19,S,4151952.0
1950,female,15-19,M,141284.0
1950,female,15-19,W,1432.0
1950,female,15-19,V,6504.0
1950,female,20-24,S,2169605.0
1950,female,20-24,M,1682937.0
1950,female,20-24,W,15655.0
1950,female,20-24,V,63980.0
1950,female,25-29,S,515973.0
1950,female,25-29,M,2686451.0
1950,female,25-29,W,92410.0
1950,female,25-29,V,102873.0
1950,female,30-34,S,163435.0
1950,female,30-34,M,2389630.0
1950,female,30-34,W,233329.0
1950,female,30-34,V,84854.0
1950,female,35-39,S,81107.0
1950,female,35-39,M,2226147.0
1950,female,35-39,W,320308.0
1950,female,35-39,V,70361.0
1950,female,40-44,S,46037.0
1950,female,40-44,M,1889390.0
1950,female,40-44,W,314806.0
1950,female,40-44,V,57287.0
1950,female,45-49,S,29494.0
1950,female,45-49,M,1571931.0
1950,female,45-49,W,359258.0
1950,female,45-49,V,46116.0
1950,female,50-54,S,20919.0
1950,female,50-54,M,1210561.0
1950,female,50-54,W,420589.0
1950,female,50-54,V,35200.0
1950,female,55-59,S,16559.0
1950,female,55-59,M,857187.0
1950,female,55-59,W,487060.0
1950,female,55-59,V,26366.0
1950,female,60-64,S,14795.0
1950,female,60-64,M,596531.0
1950,female,60-64,W,576741.0
1950,female,60-64,V,20547.0
1950,female,65-69,S,12540.0
1950,female,65-69,M,358123.0
1950,female,65-69,W,600109.0
1950,female,65-69,V,15008.0
1950,female,70-74,S,9762.0
1950,female,70-74,M,178177.0
1950,female,70-74,W,543144.0
1950,female,70-74,V,9938.0
1950,female,75-79,S,6298.0
1950,female,75-79,M,59015.0
1950,female,75-79,W,347686.0
1950,female,75-79,V,4793.0
1950,female,80+,S,2904.0
1950,female,80+,M,13814.0
1950,female,80+,W,227894.0
1950,female,80+,V,2131.0
1955,male,15-19,S,4376731.0
1955,male,15-19,M,6212.0
1955,male,15-19,W,19.0
1955,male,15-19,V,165.0
1955,male,20-24,S,3811674.0
1955,male,20-24,M,410541.0
1955,male,20-24,W,1084.0
1955,male,20-24,V,8262.0
1955,male,25-29,S,1558614.0
1955,male,25-29,M,2199649.0
1955,male,25-29,W,6078.0
1955,male,25-29,V,38034.0
1955,male,30-34,S,256015.0
1955,male,30-34,M,2509330.0
1955,male,30-34,W,10470.0
1955,male,30-34,V,40982.0
1955,male,35-39,S,72740.0
1955,male,35-39,M,2215927.0
1955,male,35-39,W,14797.0
1955,male,35-39,V,32823.0
1955,male,40-44,S,40525.0
1955,male,40-44,M,2239721.0
1955,male,40-44,W,28142.0
1955,male,40-44,V,31860.0
1955,male,45-49,S,27308.0
1955,male,45-49,M,2037414.0
1955,male,45-49,W,54261.0
1955,male,45-49,V,29963.0
1955,male,50-54,S,21148.0
1955,male,50-54,M,1792308.0
1955,male,50-54,W,100074.0
1955,male,50-54,V,27453.0
1955,male,55-59,S,15762.0
1955,male,55-59,M,1433562.0
1955,male,55-59,W,145100.0
1955,male,55-59,V,23279.0
1955,male,60-64,S,10497.0
1955,male,60-64,M,1032601.0
1955,male,60-64,W,175730.0
1955,male,60-64,V,17114.0
1955,male,65-69,S,6996.0
1955,male,65-69,M,707425.0
1955,male,65-69,W,199094.0
1955,male,65-69,V,11862.0
1955,male,70-74,S,4008.0
1955,male,70-74,M,395678.0
1955,male,70-74,W,187327.0
1955,male,70-74,V,6748.0
1955,male,75-79,S,2303.0
1955,male,75-79,M,189651.0
1955,male,75-79,W,146666.0
1955,male,75-79,V,3435.0
1955,male,80+,S,1061.0
1955,male,80+,M,70186.0
1955,male,80+,W,100196.0
1955,male,80+,V,1429.0
1955,female,15-19,S,4249783.0
1955,female,15-19,M,74107.0
1955,female,15-19,W,242.0
1955,female,15-19,V,1813.0
1955,female,20-24,S,2820075.0
1955,female,20-24,M,1385165.0
1955,female,20-24,W,5218.0
1955,female,20-24,V,33724.0
1955,female,25-29,S,793434.0
1955,female,25-29,M,2941188.0
1955,female,25-29,W,29704.0
1955,female,25-29,V,95868.0
1955,female,30-34,S,264263.0
1955,female,30-34,M,2850731.0
1955,female,30-34,W,111929.0
1955,female,30-34,V,118394.0
1955,female,35-39,S,110406.0
1955,female,35-39,M,2346302.0
1955,female,35-39,W,264755.0
1955,female,35-39,V,96555.0
1955,female,40-44,S,61670.0
1955,female,40-44,M,2118848.0
1955,female,40-44,W,379096.0
1955,female,40-44,V,80363.0
1955,female,45-49,S,38302.0
1955,female,45-49,M,1756447.0
1955,female,45-49,W,392375.0
1955,female,45-49,V,61689.0
1955,female,50-54,S,23740.0
1955,female,50-54,M,1411025.0
1955,female,50-54,W,454599.0
1955,female,50-54,V,46277.0
1955,female,55-59,S,16564.0
1955,female,55-59,M,1033331.0
1955,female,55-59,W,527958.0
1955,female,55-59,V,32697.0
1955,female,60-64,S,11728.0
1955,female,60-64,M,668894.0
1955,female,60-64,W,578848.0
1955,female,60-64,V,22073.0
1955,female,65-69,S,8963.0
1955,female,65-69,M,407579.0
1955,female,65-69,W,625281.0
1955,female,65-69,V,15349.0
1955,female,70-74,S,6524.0
